Hotel Name,Location,Tarrif,Ratings,Number of reviews,Website
Wingate by Wyndham High Point,High Point,$93,4.1/5,(996 reviews),https://www.expedia.com/Greensboro-Hotels-Wingate-By-Wyndham-High-Point.h519070.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730090&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=93&top_cur=USD&semdtl=&selectedRoomType=200665281&selectedRatePlan=203255635
Hawthorn Suites by Wyndham Greensboro,Greensboro,$71,4.0/5,(888 reviews),https://www.expedia.com/Greensboro-Hotels-Hawthorn-Suites-By-Wyndham-Greensboro.h151317.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730093&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=71&top_cur=USD&semdtl=&selectedRoomType=200196660&selectedRatePlan=201126832
Proximity Hotel,Greensboro,$256,4.7/5,(347 reviews),https://www.expedia.com/Greensboro-Hotels-Proximity-Hotel.h1725222.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730095&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=256&top_cur=USD&semdtl=&selectedRoomType=200782033&selectedRatePlan=204026413
O.Henry Hotel,Greensboro,$269,4.8/5,(289 reviews),https://www.expedia.com/Greensboro-Hotels-OHenry-Hotel.h200643.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730097&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=269&top_cur=USD&semdtl=&selectedRoomType=200781906&selectedRatePlan=204026368
Wingate by Wyndham - Greensboro,Greensboro,$78,4.5/5,"(1,002 reviews)",https://www.expedia.com/Greensboro-Hotels-Wingate-By-Wyndham-Greensboro.h565784.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730099&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=78&top_cur=USD&semdtl=&selectedRoomType=69923&selectedRatePlan=1114991
Hotel Denim,Greensboro,$114,4.3/5,(7 reviews),https://www.expedia.com/Greensboro-Hotels-Battleground-Inn.h9674787.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730101&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=114&top_cur=USD&semdtl=&selectedRoomType=314006981&selectedRatePlan=380054080
Best Western Plus Greensboro/Coliseum Area,Greensboro,$75,4.2/5,"(1,002 reviews)",https://www.expedia.com/Greensboro-Hotels-Best-Western-Plus-GreensboroColiseum-Area.h17270.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730102&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=75&top_cur=USD&semdtl=&selectedRoomType=202010137&selectedRatePlan=240219941
La Quinta Inn & Suites by Wyndham Greensboro NC,Greensboro,$65,4.1/5,"(1,002 reviews)",https://www.expedia.com/Greensboro-Hotels-La-Quinta-Inn-Suites-By-Wyndham-Greensboro-NC.h282691.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730104&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=65&top_cur=USD&semdtl=&selectedRoomType=201050830&selectedRatePlan=246098957
Burke Manor Inn & Pavilion,Gibsonville,$154,5.0/5,(3 reviews),https://www.expedia.com/Greensboro-Hotels-Burke-Manor-Inn-Pavilion.h46265767.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730105&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=154&top_cur=USD&semdtl=&selectedRoomType=214927786&selectedRatePlan=252244592
Grandover Resort Golf and Spa,Sedgefield,$239,4.6/5,(572 reviews),https://www.expedia.com/Greensboro-Hotels-Grandover-Resort-Golf-And-Spa.h200742.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730107&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&neighborhoodId=156314&sort=RECOMMENDED&top_dp=239&top_cur=USD&semdtl=&selectedRoomType=201476689&selectedRatePlan=207373192
